KLF13,1,BCL6,CR595360,FOXJ3,HOXA9,KLF4,NFATC2,NFKB1,PPARG,PRDM1,RUNX1,ND,ND
KLF13,-1,EGR1,EWSR1,RELA,ND,ND,ND,ND,ND,ND,ND,ND,ND
LMO2,1,BCL6,BRCA1,CR595360,HOXA9,ID1,KLF4,NFATC2,PPARG,ND,ND,ND,ND
LMO2,-1,SPIB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MAFB,1,BCL6,ETS1,ID1,KLF4,NFATC2,PPARG,SNAI3,ND,ND,ND,ND,ND
MAFB,-1,DDIT3,SREBF1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MAX,1,ETS1,FOXD1,NFATC2,PPARG,ND,ND,ND,ND,ND,ND,ND,ND
MAX,-1,BCL2,KLF13,SOX5,ND,ND,ND,ND,ND,ND,ND,ND,ND
MAZ,1,BCL6,EGR1,ETS1,FOS,ID1,IRF8,JUN,MAFB,RARG,ND,ND,ND
MAZ,-1,CEBPG,MCM2,MCM7,MYB,PCGF4,ND,ND,ND,ND,ND,ND,ND
MCM2,1,E2F1,E2F2,FOXD1,IRF8,PRDM1,RUNX1,ND,ND,ND,ND,ND,ND
MCM2,-1,MYB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MCM7,1,BRCA1,HOXA9,HOXA10,MYC,ND,ND,ND,ND,ND,ND,ND,ND
MCM7,-1,NOTCH1,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MLLT3,1,CR595360,ETS1,FOXD1,FOXJ3,GFI1,HOXA10,HOXA11,HOXA13,HOXA9,IRF7,IRF8,IRX3
MLLT3,1,MXI1,PCGF4,RARG,RREB1,SP1,STAT1,YY1,ZNF238,ND,ND,ND,ND
MLLT3,-1,MAFB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MXI1,1,CBFB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MYB,1,BCL2,BRCA1,IRX3,MCM7,MYC,ND,ND,ND,ND,ND,ND,ND
MYB,-1,BCL6,DDIT3,EGR1,EGR2,ETS1,FOS,JUN,MAFB,NOTCH1,PPARD,PPARG,PRDM1
MYB,-1,RARA,RARG,SNAI3,ND,ND,ND,ND,ND,ND,ND,ND,ND
MYBL2,1,CEBPA,KLF4,LMO2,PPARG,RUNX1,ZNF238,ND,ND,ND,ND,ND,ND
MYBL2,-1,DDIT3,EWSR1,FOS,NOTCH1,RXRA,SPIB,ND,ND,ND,ND,ND,ND
MYEF2,1,BCL6,ETS1,FOSB,PPARG,RARG,ND,ND,ND,ND,ND,ND,ND
MYEF2,-1,BRCA1,EGR1,IRF7,IRF8,MYB,NFYA,NRAS,SP1,STAT1,ND,ND,ND
NFATC1,1,BCL6,CR595360,ETS1,FOS,GATA2,IRF7,IRF8,MAFB,MYBL2,RARA,STAT1,ND
NFATC1,-1,MCM2,PCGF4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NFATC2,1,BCL6,BRCA1,EGR1,EGR2,ETS1,ETS2,FUS,GATA2,HOXA10,HOXA11,HOXA13,HOXA9
NFATC2,1,ID1,IRX3,MAFB,MLLT3,MYEF2,SNAI3,SREBF1,VDR,ZNF238,ND,ND,ND
NFATC2,-1,BCL2,FLI1,MYB,SMAD3,SPI1,TCFL5,ND,ND,ND,ND,ND,ND
NFE2L1,1,BCL2,BCL6,PPARG,TCF3,ND,ND,ND,ND,ND,ND,ND,ND
NFE2L1,-1,BRCA1,DDIT3,EGR1,ETS1,EWSR1,GATA2,HOXA10,HOXA11,MYEF2,NOTCH1,PPARA,PRPF31
NFE2L1,-1,PTTG1,SP1,SP3,TFPT,ND,ND,ND,ND,ND,ND,ND,ND
NFKB1,1,CR595360,EGR2,ETS1,ND,ND,ND,ND,ND,ND,ND,ND,ND
NFKB1,-1,CEBPD,MCM7,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND
NFYA,1,BRCA1,CR595360,EGR2,HOXA10,IRF8,KLF10,MYEF2,NFATC1,PPARD,PPARG,RREB1,SOX5
NFYC,1,BCL6,BRCA1,CR595360,E2F2,ETS1,FOS,HOXA9,ID1,IRF7,IRF8,KLF10,KLF4
NFYC,1,MAFB,NFATC2,PPARG,PRDM1,RARA,RARG,SMAD4,SNAI3,SPI1,STAT1,ZNF238,ND
NFYC,-1,MYB,NRAS,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND
NOTCH1,1,BCL6,FOXD1,MXI1,NFYC,PCGF4,PRDM1,ND,ND,ND,ND,ND,ND
NOTCH1,-1,BCL2,DDIT3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PCGF4,1,BCL6,CR595360,EGR2,STAT1,ND,ND,ND,ND,ND,ND,ND,ND
PCGF4,-1,CEBPD,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PPARA,1,BCL6,CBFB,IRF8,NFATC2,PRDM1,ND,ND,ND,ND,ND,ND,ND
PPARA,-1,CEBPG,DDIT3,GATA2,MYB,NRAS,SPI1,ND,ND,ND,ND,ND,ND
PPARD,1,BCL6,ETS1,FOXD1,IRF7,IRF8,MAFB,PPARG,RARA,RARG,SNAI3,ND,ND
PPARD,-1,MYB,NFYA,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND
PPARG,1,BCL6,ETS1,FOXD1,IRF8,MAFB,MLLT3,NFATC2,RARA,RARG,SNAI3,STAT1,ND
PPARG,-1,MCM7,MYB,NRAS,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND
PTTG1,1,BCL6,ETS1,KLF4,MAFB,NFATC2,PPARG,PRDM1,SNAI3,TCF3,ND,ND,ND
PTTG1,-1,BCL2,DDIT3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RARA,1,BCL6,KLF4,MAFB,NFATC2,PRDM1,RARG,RXRB,ND,ND,ND,ND,ND
RARA,-1,CEBPG,NFYA,NRAS,ND,ND,ND,ND,ND,ND,ND,ND,ND
RARG,1,BCL6,ETS1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RARG,-1,MYB,SPIB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RELA,1,BCL6,HOXA9,IRF8,MAFB,NFATC2,PPARG,RARG,ZNF238,ND,ND,ND,ND
RELA,-1,CEBPG,GATA2,MYB,NFYA,NRAS,ND,ND,ND,ND,ND,ND,ND
RREB1,1,BCL6,CR595360,ETS1,FOS,GFI1,ID1,KLF4,LMO2,MAFB,PPARA,PPARG,PRDM1
RREB1,1,RARG,SMAD4,SNAI3,ZNF238,ND,ND,ND,ND,ND,ND,ND,ND
RREB1,-1,BRCA1,MCM2,MCM7,MYB,NFYA,NRAS,ND,ND,ND,ND,ND,ND
RUNX1,1,CR595360,PPARG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RXRA,1,BCL6,IRF7,IRX3,MLLT3,PPARD,PRDM1,RARG,ND,ND,ND,ND,ND
RXRA,-1,CEBPG,DDIT3,NRAS,ND,ND,ND,ND,ND,ND,ND,ND,ND
