BCL6
CEBPB
CEBPD
EGR2
FLI1
HOXA10
HOXA13
IRF8
MAFB
MYB
NFATC1
NFE2L1
PPARD
PPARG
PRDM1
RUNX1
SNAI3
TCFL5
TFPT
UHRF1
