SourceGENES,TargetGENES,Interaction,Edges
G80,G12,0.321219625984313,activation
G47,G10,0.320165281423828,repression
G41,G7,0.319622618639925,repression
G59,G17,0.319316467407039,repression
G95,G22,0.319205559635303,activation
G45,G46,0.319099663701025,activation
G45,G70,0.318584729107552,activation
G70,G68,0.318327896702536,repression
G47,G91,0.318283097149755,activation
G100,G50,0.31802112801814,repression
G50,G83,0.317885044506235,repression
G5,G18,0.317373818747465,activation
G73,G47,0.316579200954807,repression
G19,G23,0.315698519283987,repression
G81,G75,0.315461137215198,activation
G99,G30,0.31530094979066,activation
G81,G80,0.315136787939896,repression
G81,G46,0.314574095522401,repression
G45,G79,0.31434126221027,repression
G90,G32,0.313860269921417,repression
G25,G19,0.313057691126293,repression
G40,G31,0.312591148554139,activation
G32,G9,0.312486465362121,activation
G67,G4,0.312435269689065,repression
G67,G100,0.310249314260739,repression
G80,G99,0.309824088628655,activation
G21,G84,0.308228470290273,repression
G100,G13,0.307951467973548,activation
G81,G99,0.307733081758485,activation
G67,G70,0.306664738818062,repression
G55,G64,0.30655873362344,repression
G5,G19,0.306528254714243,repression
G95,G84,0.306173292507224,activation
G67,G39,0.305117261412247,activation
G50,G40,0.305006727271418,activation
G5,G53,0.304153377209895,repression
G47,G49,0.303624084136714,activation
G25,G21,0.303425117195794,activation
G9,G26,0.302140494239389,activation
G100,G33,0.302002156099306,repression
G100,G100,0.301468432104313,activation
G45,G13,0.300803343359851,activation
G68,G24,0.300698618528286,activation
G73,G14,0.300503740588837,activation
G58,G58,0.300284165313899,activation
G25,G30,0.300110842685858,repression
G31,G60,0.298797983277789,repression
G36,G62,0.298391789827737,activation
G41,G50,0.298371315069961,repression
G53,G39,0.298142009366481,repression
G93,G46,0.298126770333907,repression
G60,G79,0.29721379181291,activation
G92,G23,0.296624027543964,activation
G20,G58,0.295240247207475,repression
G78,G85,0.294851458521304,repression
G19,G80,0.293694990891834,repression
G78,G93,0.29339835257863,activation
G78,G66,0.293291808199868,activation
G9,G18,0.292428080869679,repression
G86,G86,0.292195292861149,activation
G16,G66,0.291506142294751,activation
G100,G26,0.291396215068894,repression
G80,G51,0.290814987135415,activation
G92,G4,0.288385499617375,repression
G33,G58,0.28826609213399,activation
G60,G68,0.287699281912572,activation
G99,G4,0.284804898176713,repression
G80,G24,0.284788870762539,activation
G41,G88,0.284505937011834,repression
G92,G95,0.283862511526292,activation
G92,G41,0.28367862744493,activation
G67,G27,0.283306448506822,activation
G53,G71,0.283251601847132,repression
G93,G36,0.282907515328078,activation
G92,G13,0.282761660830963,activation
G41,G68,0.281816811015917,repression
G41,G23,0.281538388682664,activation
G64,G58,0.281492456345591,repression
