SourceGENES,TargetGENES,Interaction,Edges
FLI1,TCFL5,0.287783148472102,activation
MYEF2,HOXA10,0.28755114537995,repression
PRDM1,SPIB,0.287144734414619,activation
MYB,NFATC2,0.286201593778832,activation
PPARG,PPARG,0.285008593927388,activation
KLF13,PPARD,0.284073590773586,repression
PRDM1,TFPT,0.283913219929195,repression
TRIM28,CEBPD,0.283780704052701,repression
SPI1,PPARG,0.283408297849574,activation
FLI1,PPARG,0.28280812518098,activation
VDR,TCF3,0.282486892061265,repression
UHRF1,ETS1,0.279882725907206,activation
KLF10,CBFB,0.279812866437391,activation
BCL6,PPARD,0.279012595100375,activation
KLF10,HOXA13,0.276993145823661,repression
IRF8,HOXA10,0.274506377007965,activation
KLF10,NFE2L1,0.272661228795089,repression
MYEF2,PPARG,0.272366481968292,repression
IRF8,TCF3,0.271297879405916,repression
PPARG,PRDM1,0.2710468212859,activation
RREB1,PRDM1,0.270965386332816,repression
KLF13,LMO2,0.268374378831993,activation
FOSB,TCF3,0.265256481408745,repression
FOSB,HOXA10,0.264209344973865,repression
BCL6,LMO2,0.26402553745687,activation
FLI1,SMAD3,0.263084724503616,activation
FOS,ELK1,0.262318241156588,activation
PRDM1,ETS1,0.261289574644268,activation
KLF10,PPARD,0.260967994392691,repression
PPARD,SPIB,0.260848715574231,repression
KLF10,SMAD4,0.259774719177699,repression
KLF13,CBFB,0.259254239960363,repression
PPARG,SNAI3,0.258872611537411,activation
KLF10,NFYC,0.258354165304865,activation
EGR2,SPIB,0.258172303595635,repression
EGR2,ELK1,0.25786747122572,repression
EGR2,SMAD3,0.25659674742214,repression
NFYA,SNAI3,0.256524860570916,activation
MAFB,PPARG,0.256400355689053,activation
KLF10,SPI1,0.256285679580444,repression
FOS,HOXA10,0.256129555083734,repression
BCL6,CBFB,0.256115051795932,activation
MYEF2,RXRB,0.255557388609856,repression
EGR2,NFATC2,0.253393591346467,activation
NFYA,HOXA10,0.252479441157188,repression
RREB1,TCFL5,0.252286679760911,repression
SPI1,SMAD3,0.251312510382775,repression
UHRF1,LMO2,0.250916415347984,activation
KLF10,PPARG,0.250431322479682,activation
UHRF1,PRDM1,0.248424935002451,repression
UHRF1,VDR,0.247611536166948,activation
VDR,SPIB,0.246472691759133,repression
FLI1,ELK1,0.246342565426797,repression
BCL6,UHRF1,0.24577689024293,repression
MAFB,RXRB,0.245756659143346,repression
NFYA,TCF3,0.245522282748432,activation
BCL6,SP3,0.245185140674953,repression
KLF13,SP3,0.244983171513361,activation
FLI1,TFPT,0.244805074688382,activation
VDR,SNAI3,0.244276872275199,activation
SPI1,ELK1,0.244033559778164,repression
PRDM1,LMO2,0.24383837303401,repression
EGR2,TFPT,0.243368160890148,repression
KLF13,UHRF1,0.242828920337576,repression
MAFB,SMAD3,0.242370175866953,repression
TCFL5,CEBPD,0.241924272227253,activation
KLF13,CEBPB,0.241226500732358,activation
BCL6,CEBPB,0.240607744661692,repression
RREB1,SMAD3,0.24039761527542,activation
RREB1,PPARG,0.24014524867727,repression
UHRF1,SP3,0.23987125176579,activation
FOS,TCF3,0.238986388477842,repression
KLF10,UHRF1,0.234805489543148,repression
SPI1,TFPT,0.233758537376461,activation
RREB1,ELK1,0.232262102809542,activation
KLF10,STAT1,0.2320568307222,activation
PRDM1,SP3,0.231450878154797,repression
EGR2,SNAI3,0.229842638470544,repression
MAFB,ETS1,0.229611476250042,activation
SPI1,CEBPD,0.229510140339193,activation
BCL6,MYB,0.229049699682479,repression
PPARD,NFATC2,0.22865542878522,repression
PPARG,RXRB,0.227902516469212,activation
PPARG,ETS1,0.227452919820672,activation
UHRF1,CEBPB,0.226809862055456,activation
KLF13,MYB,0.225670020951006,repression
KLF10,SMAD3,0.225039389635155,activation
TRIM28,TCFL5,0.224965039107523,activation
PPARD,PRDM1,0.22422759850233,activation
KLF10,IRF8,0.223823864610247,activation
UHRF1,PPARD,0.223725327678054,repression
KLF13,HOXA13,0.223672606517166,repression
SPIB,SPIB,0.222915161163687,activation
RREB1,TFPT,0.222780450673677,activation
UHRF1,CBFB,0.222150131225114,repression
UHRF1,MYB,0.221337142830385,repression
UHRF1,IRF8,0.220829676580511,activation
BCL6,HOXA13,0.220086129502331,repression
IRF8,IRF8,0.218930955406191,activation
MAFB,TFPT,0.217854526375219,repression
KLF10,TFPT,0.217273200081303,activation
TRIM28,HOXA10,0.215673599975987,activation
SNAI1,TCFL5,0.215647790538107,repression
MYEF2,ETS1,0.215455799669516,activation
TRIM28,ELK1,0.215140103072818,activation
BCL6,SPI1,0.214594350822026,activation
IRF8,BCL6,0.214108340160333,activation
IRF8,RXRB,0.214057039774989,repression
KLF13,SPI1,0.21356536023603,repression
PPARG,VDR,0.213489921896784,activation
PRDM1,CEBPB,0.213338386112806,activation
FOSB,RXRB,0.212588298432028,repression
SPIB,NFATC2,0.211572906283692,activation
FOSB,IRF8,0.211269285610491,activation
MYB,ELK1,0.210142301417235,repression
KLF10,TRIM28,0.209856086500191,activation
TCFL5,ELK1,0.209557809512591,activation
KLF10,NFATC1,0.209374592227377,activation
VDR,RXRB,0.209082878893359,activation
TRIM28,TCF3,0.208526360695146,activation
UHRF1,HOXA13,0.207217624622394,repression
FLI1,CEBPD,0.206292917859903,activation
MYB,CEBPD,0.206004270138689,activation
FOSB,BCL6,0.205952429609064,repression
VDR,PPARG,0.205752696169061,activation
KLF10,RREB1,0.204199704283831,repression
FOS,SNAI3,0.204168786731842,repression
KLF10,RUNX1,0.203634032158885,activation
PPARD,SMAD3,0.20313471705045,activation
PPARD,TCFL5,0.202906102190635,activation
PRDM1,CBFB,0.20288866247437,repression
MAFB,VDR,0.202718672891744,activation
NFYA,IRF8,0.202183551064218,activation
SPI1,SNAI3,0.20215121337475,repression
MAFB,LMO2,0.201912737780203,activation
UHRF1,BCL6,0.201778893311454,repression
PRDM1,HOXA13,0.201069778258775,activation
IRF8,ETS1,0.200896766974242,repression
PPARD,PPARG,0.200672554893576,repression
KLF10,MYEF2,0.200158506353217,activation
NFYA,BCL6,0.199371201482385,repression
SNAI1,ELK1,0.19921600595638,repression
MYEF2,PRDM1,0.199154656830479,repression
MYEF2,LMO2,0.198642949498751,repression
PRDM1,VDR,0.198148949717163,repression
SPIB,PRDM1,0.198125829391544,activation
SNAI1,SPIB,0.19792588042373,repression
SNAI1,CEBPD,0.197495532984217,repression
FOSB,ETS1,0.197019385717086,repression
IRF8,VDR,0.196858232157515,repression
PRDM1,MYB,0.196793245939343,repression
PPARG,LMO2,0.196655176390702,activation
PRDM1,PPARD,0.196610227129781,activation
UHRF1,UHRF1,0.196480300868833,activation
KLF13,NFYC,0.195808672602824,repression
KLF10,JUN,0.195684843102347,activation
VDR,ETS1,0.19498051231877,repression
UHRF1,SPI1,0.194978041471085,repression
PPARG,SP3,0.194704747125503,activation
FLI1,SNAI3,0.194702537473777,activation
CBFB,SPIB,0.193971970999093,activation
SPI1,HOXA10,0.193951073782701,activation
SPI1,TCF3,0.19384992219131,activation
IRF8,PPARD,0.19359523644749,repression
MAFB,SP3,0.192824626374767,repression
FOS,SMAD3,0.192588249103668,activation
BCL6,NFYC,0.192557656759935,activation
PPARG,SMAD3,0.192032223909708,activation
TCFL5,SNAI3,0.191863308617384,activation
TCFL5,TCFL5,0.19112346376682,activation
PPARG,MYB,0.191028781082233,repression
FOSB,VDR,0.190815473074179,repression
PPARD,TFPT,0.190292380252969,activation
TRIM28,SNAI3,0.18954301337199,repression
UHRF1,NFYC,0.189013748045921,repression
RREB1,CEBPD,0.188410260671827,activation
KLF10,BCL6,0.188334515865107,repression
FOS,TFPT,0.188094379140571,repression
FOSB,PPARD,0.188016956861318,repression
MYEF2,IRF8,0.187018304812462,activation
MYEF2,PPARD,0.186916982371904,activation
PRDM1,NFYC,0.186884085896469,activation
PPARD,ELK1,0.186809981772365,activation
NFYA,RXRB,0.186029366984045,repression
UHRF1,NFE2L1,0.185544899188195,activation
NFYA,VDR,0.185206606017722,activation
MAFB,PRDM1,0.185113400795255,activation
UHRF1,SMAD4,0.184905237298886,activation
MYEF2,VDR,0.184891945189258,repression
BCL6,SMAD4,0.184865969948322,activation
PPARG,CEBPB,0.184265744106466,activation
MYEF2,SP3,0.184064598325724,activation
KLF13,SMAD4,0.183892334216761,activation
RREB1,SNAI3,0.183723210519983,activation
EGR2,CEBPD,0.183671940477719,activation
MAFB,MYB,0.183383531897872,repression
NFYA,ETS1,0.183242709295565,repression
TCFL5,SPIB,0.18306381266941,activation
MAFB,CEBPB,0.182815222835907,activation
SPIB,TCFL5,0.182753621365547,activation
PRDM1,NFE2L1,0.182347839437182,activation
FLI1,HOXA10,0.182172860529016,repression
PPARG,IRF8,0.180121797037239,repression
SPIB,PPARG,0.179927255845642,repression
MYB,SNAI3,0.179173954201083,repression
TCFL5,TCF3,0.17900079977377,repression
IRF8,LMO2,0.178791034821685,repression
KLF13,STAT1,0.178758129522767,repression
TCFL5,HOXA10,0.17874099804883,activation
MYEF2,CBFB,0.178734578584669,activation
FLI1,TCF3,0.178068096289517,repression
BCL6,STAT1,0.177194174130998,activation
MAFB,CBFB,0.17716370232005,activation
MAFB,PPARD,0.176912980557505,repression
PPARG,CBFB,0.17679397870216,activation
PPARG,PPARD,0.176196420693252,repression
FOSB,LMO2,0.175784749897688,activation
IRF8,CBFB,0.175471585749125,activation
KLF10,FLI1,0.175334601064674,repression
KLF13,RREB1,0.175316389362966,activation
NFYA,PPARD,0.17517572863509,repression
MYEF2,CEBPB,0.174750748024072,activation
MAFB,IRF8,0.174730273823572,repression
BCL6,RREB1,0.174037431234466,repression
FOS,ETS1,0.173996286763552,repression
FOS,VDR,0.173643950044891,activation
VDR,VDR,0.173583431678688,activation
PRDM1,SMAD4,0.173454297787994,repression
VDR,LMO2,0.173233840116234,repression
PRDM1,SPI1,0.172712639613745,activation
EGR2,TCFL5,0.172577585454035,repression
FOS,RXRB,0.172530859769732,activation
BCL6,NFE2L1,0.172478977380965,repression
VDR,SP3,0.172432179118345,repression
MYEF2,BCL6,0.17141580578635,activation
KLF13,NFE2L1,0.171210762747232,activation
FOSB,CBFB,0.170885371020123,repression
UHRF1,STAT1,0.170479622531975,activation
SNAI1,HOXA10,0.170410388228383,activation
PPARG,UHRF1,0.170078192768397,repression
VDR,SMAD3,0.169864061223364,activation
PPARG,TFPT,0.169222495897129,activation
CBFB,PRDM1,0.169164435382257,repression
VDR,PRDM1,0.169147845839064,repression
SPIB,SMAD3,0.168232730791997,activation
TRIM28,SPIB,0.168098733467401,repression
MAFB,HOXA13,0.167580622322323,repression
PRDM1,IRF8,0.167427104838343,repression
KLF10,NFYA,0.167375150765014,activation
CBFB,NFATC2,0.167180052316414,repression
PPARG,BCL6,0.167080100462087,activation
MYB,TCF3,0.166461941821557,repression
IRF8,SP3,0.166303522228158,repression
SNAI1,TCF3,0.16544647627733,repression
SNAI1,PRDM1,0.165264619649569,activation
RREB1,HOXA10,0.165083339913763,repression
PRDM1,PPARG,0.165072917548705,activation
KLF13,FLI1,0.164961237386791,activation
IRF8,UHRF1,0.164466833466156,activation
TRIM28,RXRB,0.164397264131033,activation
PPARG,HOXA13,0.164307973347837,repression
MYEF2,HOXA13,0.164106948287553,activation
PRDM1,STAT1,0.163219737010161,activation
RREB1,TCF3,0.163149630123074,activation
IRF8,CEBPB,0.162690049568514,repression
BCL6,FLI1,0.1624591002416,activation
PPARG,SPI1,0.161331390820409,activation
FOS,IRF8,0.161297282423387,activation
FOSB,SP3,0.161287279560136,repression
BCL6,MYEF2,0.160964671394509,activation
VDR,MYB,0.160851784046543,activation
VDR,CEBPB,0.160797285985794,repression
NFYA,LMO2,0.160077916867626,activation
SNAI1,PPARG,0.159294480813132,repression
