Parent X. Child Weight Probability
cenpn -> ponzr1 0.387162 1
n6amt2 -> chtf8 0.386965 1
pfn1 -| grap2a -0.386799 1
atp1a3a -> fam107b 0.385778 1
si:ch211-113a14.22 -> efhd2 0.385207 1
hook1 -> si:dkey-6i22.5 0.384425 1
ppardb -> gata2a 0.3844 1
anxa1a -| ponzr1 -0.383446 1
soul5 -| LOC100334934 -0.38199 1
slc2a6 -> ncapd2 0.381147 1
si:dkey-185e18.7 -> cenpn 0.381131 1
zgc:110540 -> chaf1a 0.3809 1
si:ch211-161h7.4 -> mrps35 0.379721 1
erg -| mis12 -0.379474 1
si:dkey-261m9.17 -> tomm40l 0.378927 1
ddit4 -| aurkb -0.378644 1
erg -| LOC100148591 -0.378471 1
pfn1 -| itgb2 -0.377326 1
primpol -> slc29a2 0.376622 1
pcbd1 -| slc29a2 -0.375527 1
si:dkey-1h24.6 -> vrk2 0.375055 1
hells -> si:ch211-113a14.22 0.372251 1
pfn1 -| marcksl1a -0.372208 1
pstpip1a -> ccr9a 0.371683 1
e2f8 -> mettl1 0.371394 1
si:dkey-185e18.7 -> krcp 0.370979 1
si:dkey-1h24.6 -> mylk5 0.369884 1
zgc:153405 -| slc29a2 -0.369588 1
mylk5 -> ppardb 0.369363 1
gng12a -> rad51 0.368924 1
si:ch211-161h7.4 -> mki67 0.368918 1
si:ch211-113a14.22 -> rad51 0.368671 1
si:ch211-161h7.4 -> smc4 0.368611 1
si:ch211-113a14.22 -> chaf1a 0.368406 1
krcp -> dsn1 0.367676 1
hook1 -> cenph 0.367017 1
c1qa -> mrps35 0.365607 1
mrps35 -> nip7 0.36528 1
nsun3 -> cenpk 0.362801 1
gtse1 -> si:dkey-6i22.5 0.362619 1
erg -| chchd10 -0.362453 1
znhit3 -> grn1 0.361522 1
si:dkey-204f11.64 -> atad5a 0.360922 1
si:dkey-108k21.10 -| grap2a -0.360176 1
zgc:198419 -> phkg1a 0.359495 1
si:ch211-113a14.28 -> c24h7orf50 0.359136 1
pdcd2l -> grna 0.357915 1
si:dkey-261m9.12 -| haus1 -0.357823 1
