SourceGENES,TargetGENES,Interaction,Edges
G92,G71,0.482278929097062,repression
G71,G27,0.481977815639514,activation
G35,G40,0.481603100157471,activation
G65,G76,0.480857763485031,activation
G36,G38,0.479334280526193,activation
G18,G64,0.47922706529266,repression
G12,G98,0.478220501658413,repression
G87,G27,0.478182649729761,activation
G8,G65,0.477912653443429,repression
G56,G23,0.47639247048898,activation
G60,G75,0.474006393028778,activation
G92,G85,0.47397631349182,repression
G12,G20,0.469864408929156,activation
G56,G64,0.467514235244878,activation
G8,G2,0.466649734708658,activation
G36,G28,0.465562507156158,activation
G57,G76,0.465056898842132,activation
G35,G74,0.464998151463858,repression
G87,G61,0.464894021382908,repression
G19,G37,0.464136454424284,activation
G7,G64,0.462891878360765,activation
G56,G78,0.462071716046473,repression
G31,G73,0.460976559960564,repression
G67,G50,0.459786107563358,activation
G21,G94,0.459661415804496,repression
G36,G61,0.45929443940737,activation
G19,G90,0.457095958089346,repression
G5,G59,0.456024899116356,activation
G45,G81,0.453644238550713,repression
G1,G3,0.453214349902625,repression
G13,G65,0.453180474801309,activation
G4,G77,0.453122427672631,activation
G68,G83,0.453087907618893,activation
G60,G3,0.45263659469974,repression
G50,G88,0.452333032753515,repression
G36,G83,0.450466963335427,activation
G58,G78,0.450130106908958,activation
G18,G23,0.449497717542705,repression
G56,G34,0.449097007108905,repression
G8,G44,0.448435664590312,repression
G13,G66,0.44815852112124,activation
G7,G43,0.447432236439279,activation
G45,G70,0.446895264785494,repression
G71,G44,0.446028780757865,repression
G60,G70,0.445614781266838,activation
G19,G33,0.445346762418741,activation
G65,G78,0.445242153447617,activation
G12,G63,0.445122322049783,repression
G14,G51,0.444670160016458,repression
G50,G16,0.444123352162765,activation
G46,G2,0.4435004792281,activation
G92,G69,0.442402125290188,repression
G19,G100,0.441666509130912,activation
G84,G42,0.441541341355579,repression
G46,G9,0.440875528041258,repression
G5,G22,0.440717592901904,activation
G13,G31,0.439522057881295,activation
G12,G44,0.439144057753998,repression
G45,G73,0.437521778087237,repression
G87,G43,0.43577738210298,repression
G34,G34,0.434656122514908,activation
G18,G81,0.434608513053732,activation
G68,G12,0.434273816206386,activation
G1,G39,0.434023703464631,repression
G57,G53,0.433885137513166,repression
G44,G96,0.433104180274518,activation
G56,G40,0.432548381550877,activation
G56,G52,0.431237094650467,activation
G62,G61,0.430551252275994,activation
G35,G19,0.430522264969207,repression
G35,G68,0.430495664010865,repression
G1,G77,0.429825585509934,activation
G1,G4,0.429580618953445,activation
G21,G87,0.429539392937855,repression
G7,G75,0.429444786459395,activation
G4,G52,0.428868252014828,activation
G28,G76,0.428725641628546,activation
G21,G59,0.427697017141394,repression
G87,G89,0.426418798502878,repression
G7,G71,0.426291273755931,activation
G14,G3,0.425842600217503,activation
G18,G89,0.425096063427171,activation
G42,G83,0.424770695975086,activation
G39,G42,0.424726745015415,repression
G13,G72,0.424145592247914,activation
G31,G90,0.42399085187961,activation
G73,G99,0.423051839158716,activation
G7,G55,0.422848572698466,activation
G68,G65,0.422509657853418,activation
G21,G36,0.422329490058408,activation
G1,G17,0.421938676197195,activation
G69,G42,0.420828559246919,repression
G58,G31,0.420399717076857,activation
G46,G76,0.418932630413364,repression
G28,G16,0.418391143054801,activation
G58,G74,0.41832102845141,activation
G67,G85,0.41829407115977,repression
G1,G19,0.41677300745326,activation
G71,G84,0.414439414284058,activation
G38,G25,0.413787893601544,activation
G12,G9,0.413699067000567,repression
G1,G59,0.413594341528359,repression
G35,G4,0.413135923982761,activation
G31,G52,0.412520041893494,repression
G8,G9,0.411495996865599,activation
G4,G22,0.410380156408189,activation
G1,G14,0.40956839772759,repression
G7,G72,0.407368282925431,repression
G12,G70,0.407263108754629,activation
G97,G31,0.40609907420021,repression
G58,G48,0.405891245452345,activation
G73,G38,0.405879650641918,activation
G55,G100,0.405327274898925,repression
G6,G83,0.405031704711876,activation
G35,G48,0.403708925830094,repression
G18,G26,0.403687807685389,activation
G69,G55,0.403569875881036,repression
G87,G75,0.402512332075076,repression
G38,G37,0.402192255607338,activation
G18,G41,0.402150939025875,activation
G30,G22,0.402101641330709,activation
G80,G45,0.401754958450481,repression
G21,G55,0.401710032694817,activation
G19,G79,0.401629496060035,activation
G62,G55,0.40145783849904,activation
G67,G44,0.400639677432935,repression
G14,G67,0.400063859126395,activation
G18,G38,0.399964477389576,repression
G44,G61,0.399671831229064,repression
G42,G97,0.399429496697795,repression
G31,G31,0.399045856409618,activation
G7,G57,0.398534644029592,activation
G46,G93,0.398080337016102,activation
G18,G28,0.397894743142445,repression
G12,G42,0.397365102333098,repression
G7,G28,0.396444721537329,activation
G68,G86,0.396270534661422,activation
G8,G99,0.395499600070289,repression
G70,G72,0.395316471160904,repression
G12,G83,0.395082185207605,repression
G6,G34,0.394843736053254,repression
G56,G89,0.394627102421103,repression
G62,G88,0.393791318733697,repression
G92,G23,0.392978414710578,activation
G92,G89,0.392323061681624,repression
G42,G73,0.391957394658467,activation
G38,G84,0.391873150665857,repression
G87,G8,0.391869113187633,repression
G40,G14,0.39065048682924,activation
G4,G4,0.389876830928274,activation
G87,G55,0.389841354538495,activation
G42,G55,0.389600568240178,repression
G95,G78,0.389306010870713,activation
G39,G76,0.388951092574321,repression
G28,G20,0.388352004877212,activation
G42,G87,0.387716585529827,activation
G19,G89,0.387687555674056,repression
G40,G4,0.387591311250238,activation
G75,G51,0.387546998524791,repression
G58,G23,0.387454689284149,activation
G35,G21,0.387234159033867,activation
G7,G89,0.386997530297232,activation
G1,G22,0.386700699383047,repression
G19,G93,0.386667083945242,activation
G30,G68,0.386555715452829,repression
G19,G48,0.385843929966672,repression
G30,G77,0.385557789248442,repression
G5,G82,0.384970656852965,repression
G21,G79,0.384831846981667,activation
G1,G16,0.384494432709041,activation
G97,G72,0.38369032558279,repression
G65,G61,0.383652040134829,activation
G19,G53,0.383460747201492,activation
G5,G75,0.383456227405906,activation
G7,G50,0.383015948624083,activation
G60,G25,0.381747920725591,activation
G19,G15,0.381645498349743,repression
G5,G93,0.3815068498354,activation
G58,G76,0.381369213475882,activation
G1,G40,0.380524474173806,activation
G46,G79,0.380040575730582,activation
G36,G71,0.379996816924869,activation
G43,G64,0.379283465918778,activation
G1,G33,0.379217819219802,repression
G13,G93,0.379188260740328,activation
G4,G61,0.378881942128134,repression
G44,G3,0.378196828582599,activation
G57,G23,0.378137209976954,repression
G20,G25,0.377193568633204,activation
G19,G23,0.376357279116521,repression
G69,G66,0.375450582639773,repression
G5,G16,0.375228106807412,activation
G33,G52,0.374981005884695,activation
G14,G27,0.374823764856705,activation
G44,G6,0.373721884467435,repression
G21,G30,0.373695335608649,activation
G62,G57,0.373688142241346,repression
G45,G10,0.373677112169765,repression
G92,G41,0.373076907160196,activation
G87,G79,0.372825447164267,activation
G1,G100,0.372800613064443,repression
G13,G56,0.372735618527813,activation
G30,G78,0.372720305649146,repression
G68,G27,0.37267130944339,repression
G7,G61,0.372617765677387,repression
G95,G9,0.372175043801239,repression
G80,G16,0.371139259933613,activation
G84,G50,0.370604483459625,activation
G21,G96,0.370538573488356,repression
G97,G95,0.37028669971764,activation
G47,G61,0.370150844816534,activation
G35,G33,0.369341699903175,activation
G87,G32,0.369186260907381,activation
G68,G14,0.369141588881314,activation
G30,G71,0.369014110973471,activation
G36,G3,0.368854816950416,activation
G95,G44,0.368842678521588,activation
G92,G66,0.368790669035697,repression
G39,G31,0.367381302519218,activation
G43,G77,0.366835166036024,activation
G28,G78,0.366402639194577,repression
G47,G27,0.366392510418799,activation
G80,G69,0.366067315242857,activation
G4,G94,0.365772021264954,repression
G33,G94,0.365101251651513,repression
G50,G59,0.364964472478536,repression
G45,G71,0.364631745165248,repression
G30,G66,0.364173465549891,activation
G8,G96,0.364117690880842,activation
G8,G49,0.363896606263682,activation
G18,G4,0.363669323516363,repression
G5,G45,0.362165490259954,repression
G5,G96,0.36154186937537,repression
G1,G45,0.360989975299406,repression
G58,G54,0.360785034791937,repression
G46,G46,0.360256510584555,activation
G56,G100,0.360095331786779,repression
G40,G22,0.359978835463825,repression
G42,G27,0.359741055192131,repression
G69,G90,0.359582483707348,repression
G13,G97,0.358952362915673,activation
G54,G16,0.358750340248797,repression
G1,G90,0.358740326291818,activation
G92,G81,0.358511752711424,repression
G84,G62,0.358270974206768,repression
G92,G27,0.358190899618058,activation
G69,G60,0.358122767603355,activation
G45,G15,0.357899178442673,activation
G58,G14,0.357765964048084,activation
G21,G93,0.35613465776092,repression
G40,G96,0.355953311388877,activation
G56,G22,0.355416541627583,repression
G70,G91,0.354396752966285,repression
G56,G69,0.354009829113354,activation
G65,G26,0.353612425656734,repression
G44,G75,0.353155530821993,repression
G1,G74,0.352808541921912,repression
G95,G36,0.35260478555575,repression
G33,G22,0.352540548903305,activation
G4,G53,0.352432109037004,activation
G13,G18,0.352249469791728,repression
G58,G87,0.352017003676733,repression
G97,G97,0.3515999239919,activation
G56,G83,0.349959511910549,activation
G68,G95,0.349854256260821,repression
G1,G36,0.349809991891218,activation
G62,G28,0.348990543950739,repression
G71,G11,0.348263462824577,activation
G75,G88,0.347830621373911,activation
G67,G25,0.34771615571035,repression
G44,G56,0.347196503881874,repression
G7,G46,0.346976216661888,repression
G97,G55,0.346755884204776,activation
G1,G21,0.346753349802475,repression
G36,G4,0.346493730818803,repression
G6,G39,0.345745123896106,activation
G69,G43,0.345410466494309,repression
G28,G47,0.345335315242066,activation
G19,G81,0.345175608081074,activation
G97,G3,0.344609662967286,repression
G87,G3,0.344502063324673,activation
G30,G94,0.344461781333166,activation
G55,G76,0.343857765366598,repression
G43,G76,0.342649124833033,activation
G44,G73,0.342569368168553,repression
G60,G56,0.342336375664571,repression
G80,G42,0.342333100860674,activation
G72,G76,0.341913181355062,activation
G30,G79,0.341881544463208,activation
G95,G2,0.34075150382354,activation
G19,G82,0.340662255113546,repression
G63,G31,0.340605489399369,repression
G44,G65,0.340227488992586,activation
G28,G75,0.340067258261679,activation
G97,G2,0.339797096835441,repression
G65,G23,0.339303880016158,repression
G6,G90,0.339150082086784,repression
G12,G11,0.338464593379633,activation
G21,G54,0.338375208374689,activation
G56,G82,0.338372382010174,repression
G44,G99,0.338069217576423,activation
G92,G73,0.337597769678902,activation
G42,G9,0.336959359493798,repression
G58,G82,0.336771017894541,repression
G39,G43,0.336597199667437,activation
G19,G60,0.336559009686614,repression
G13,G73,0.33639435882431,repression
G31,G9,0.335652059513311,activation
G63,G73,0.335519369929972,activation
G39,G16,0.335323759539526,repression
G39,G89,0.334924701905115,activation
G13,G79,0.334816204520773,activation
G17,G22,0.334649300108893,activation
G6,G36,0.334476979290911,repression
G68,G16,0.334438306148469,activation
G1,G58,0.334308505297487,activation
G38,G86,0.334282199738118,repression
G1,G56,0.334229922416852,repression
G95,G76,0.333415716907697,activation
G58,G21,0.333338704323435,activation
G92,G75,0.333173244471537,activation
G64,G20,0.33310339024678,activation
G19,G87,0.333054525184084,repression
G56,G33,0.332503736371057,activation
G34,G76,0.332487805169764,activation
G12,G51,0.332077501970683,repression
G38,G41,0.331774285077746,activation
G54,G100,0.331741509002076,activation
G1,G61,0.331409160819498,repression
G84,G44,0.331158984975467,activation
G5,G40,0.330517275601698,activation
G39,G51,0.330512457870578,activation
G54,G94,0.33034673198727,activation
G65,G44,0.33020850341655,activation
G87,G100,0.329539116021246,repression
G30,G44,0.329321359657383,activation
G84,G98,0.328639348783471,repression
G67,G51,0.328256012672692,repression
G8,G28,0.327913214780049,activation
G5,G19,0.327706484578634,repression
G31,G45,0.327197942477375,repression
G97,G46,0.327114664582057,repression
G45,G32,0.32706051600291,repression
G19,G20,0.326606392855607,repression
G70,G64,0.325520464855821,activation
G34,G9,0.325432404422163,activation
G6,G47,0.325317721705281,repression
G35,G87,0.324863490753907,repression
G97,G64,0.324820024574442,repression
G69,G72,0.324565007855374,activation
G13,G55,0.324473382046384,activation
G70,G89,0.324439580031071,activation
G21,G21,0.32440900489303,activation
G58,G19,0.324166672852787,repression
G56,G87,0.323992682699993,activation
G57,G47,0.322559096967672,activation
G87,G57,0.322346019461225,repression
G39,G83,0.322048959410082,repression
G12,G46,0.321627068069957,repression
G19,G41,0.321345927366537,repression
G64,G79,0.321166650869309,repression
G65,G100,0.321115713309363,activation
G19,G59,0.321113905491462,activation
G97,G44,0.320999520278905,repression
G35,G5,0.320842258157772,repression
G54,G78,0.320722690364836,activation
G73,G65,0.319818241786349,activation
G3,G29,0.319711684970993,activation
G31,G32,0.319600233963827,repression
G18,G16,0.319340656022903,repression
G19,G77,0.319115102886758,repression
G56,G76,0.319036304404211,activation
G8,G55,0.318279544116544,repression
G4,G37,0.318145355783735,repression
G13,G85,0.318115286025853,repression
G97,G71,0.317921340209185,repression
G13,G15,0.317514804788448,repression
G71,G8,0.31709241420976,activation
G35,G58,0.316563778190713,repression
G50,G83,0.316364069233803,repression
G39,G100,0.315885033462322,repression
G50,G89,0.315797641989827,activation
G97,G43,0.315532759076285,activation
G19,G76,0.315403174195787,activation
G4,G25,0.314769582946265,repression
G87,G64,0.314512750123578,activation
G40,G54,0.314211936057806,activation
G46,G12,0.314141300504576,repression
G4,G74,0.314007864490557,repression
G60,G6,0.31395056198869,repression
G69,G88,0.313127405123257,activation
G69,G80,0.312854376157001,activation
G94,G93,0.312824552340194,activation
G13,G89,0.312725761228999,activation
G39,G55,0.312587257349258,activation
G28,G97,0.312345779759068,activation
G4,G75,0.312148375685414,activation
G1,G88,0.311563411343063,repression
G18,G11,0.311426654320555,repression
G6,G43,0.311375225896218,repression
G71,G10,0.311225367052258,activation
G1,G87,0.311085127354973,repression
G14,G4,0.3105623252226,activation
G40,G93,0.310153993072866,repression
G13,G30,0.309585203290566,activation
G30,G30,0.309448073582307,activation
G36,G81,0.309278217210688,repression
G34,G55,0.309130669358646,activation
G31,G79,0.308754913101361,repression
G75,G100,0.308516658510229,repression
G34,G98,0.308428366390386,activation
G68,G49,0.308344565975707,activation
G14,G60,0.308197492158312,activation
G47,G28,0.308037189447113,activation
G67,G42,0.307232342574634,repression
G92,G15,0.306753662634358,activation
G73,G36,0.306298738947081,activation
G88,G31,0.306253657879311,repression
G7,G77,0.306234192631153,repression
G57,G78,0.305376556323021,repression
G95,G10,0.30495424045085,repression
G68,G60,0.30444592744876,repression
G42,G30,0.304201939272229,activation
G67,G27,0.30378628752851,repression
G46,G72,0.303580435172609,activation
G42,G80,0.303146005521431,activation
G4,G83,0.303039753609819,repression
G34,G36,0.302947529710797,activation
G44,G18,0.302597999832565,activation
G80,G73,0.302554304117079,repression
G73,G78,0.302225605637656,activation
G64,G11,0.301021170026121,activation
G39,G30,0.300650514701656,repression
G40,G19,0.300440042499117,activation
G12,G90,0.300417251968459,activation
G73,G8,0.300330468591001,repression
G62,G58,0.300175238738429,activation
G68,G3,0.299006472862915,repression
G5,G4,0.298529467150676,repression
G35,G23,0.298440301121777,repression
G39,G88,0.298258984289639,repression
G57,G15,0.297657113844226,repression
G60,G51,0.297186013813718,activation
G42,G99,0.29701880330162,repression
G42,G3,0.296890955195459,repression
G88,G99,0.296652190062589,activation
G13,G59,0.295212705673464,activation
G19,G68,0.29518093172057,activation
G35,G82,0.295120924281612,activation
G6,G40,0.294623309333631,activation
G70,G85,0.294280458541148,activation
G35,G30,0.293971780203151,activation
G17,G34,0.293311908377148,repression
G71,G47,0.293148228049786,repression
G1,G18,0.292993437048592,activation
G13,G34,0.292374249979018,activation
G57,G20,0.291838796549884,activation
G80,G94,0.29155655072485,repression
G65,G20,0.291552415596758,repression
G69,G79,0.291035848646279,activation
G18,G86,0.29096407824876,activation
G35,G98,0.290859071484612,repression
G87,G72,0.290376358459735,activation
G71,G98,0.290205632385172,activation
G6,G78,0.289888417641656,repression
G14,G61,0.289553874265308,activation
G54,G89,0.289208847076473,activation
G1,G9,0.289158505669895,repression
G55,G83,0.289055170030921,activation
G38,G70,0.288316157333903,activation
G43,G22,0.28782940477262,repression
G6,G32,0.287524946125533,activation
G46,G90,0.287415706254438,repression
G4,G7,0.287161564194321,activation
G67,G55,0.287054097989284,activation
G37,G61,0.286882472294141,activation
G56,G57,0.286760286285788,activation
G40,G41,0.286525080921637,activation
G68,G87,0.286060801900962,repression
G13,G96,0.285669532482646,repression
G18,G71,0.28507211186651,repression
G34,G93,0.284993426961314,activation
G13,G54,0.28476248839492,repression
G84,G11,0.28457160437062,repression
G95,G49,0.28428949226344,repression
G4,G23,0.283998474546766,activation
G70,G82,0.283956946202983,repression
G56,G48,0.283667894507568,repression
G57,G94,0.283409543624362,repression
G17,G93,0.283282628029026,repression
G7,G34,0.282542653257295,repression
G84,G46,0.282489474694103,activation
G42,G36,0.282113726942732,activation
G94,G75,0.282109565239394,repression
G33,G77,0.281890618389453,repression
G18,G57,0.281817128099314,repression
G55,G64,0.280661463158499,activation
G55,G16,0.280626688742713,activation
G37,G25,0.279117275656112,repression
G55,G34,0.279007921117552,activation
G62,G3,0.278969508911654,activation
G95,G94,0.278775360293167,repression
G84,G53,0.278624041405476,repression
G44,G95,0.278335861295441,activation
G40,G90,0.27831551678131,repression
G43,G73,0.278284129407769,activation
G42,G56,0.278063479781403,repression
G65,G83,0.277901190245086,repression
G40,G98,0.277842265236045,activation
G46,G87,0.277760825044317,activation
G50,G77,0.277673860262962,activation
G27,G28,0.277539470186283,repression
G7,G84,0.277300517578267,activation
G54,G52,0.277163609696789,repression
G40,G18,0.277045281164756,repression
G62,G56,0.27695366828482,activation
G43,G16,0.276702187603256,activation
G58,G33,0.276664671642018,repression
G17,G31,0.276434399413734,repression
G73,G22,0.276279712680821,activation
G70,G79,0.275517223025448,repression
G4,G40,0.275479777757061,activation
G43,G30,0.275411111350913,repression
G44,G55,0.275267114133361,repression
G56,G21,0.275052597158012,activation
G4,G34,0.274892146214343,repression
G4,G26,0.274863583492701,activation
G73,G18,0.274820431237182,repression
G80,G82,0.274292370746699,repression
G38,G47,0.273643460069151,repression
G4,G51,0.273568842428066,activation
G56,G13,0.273346958166299,activation
G50,G78,0.273287157442329,activation
G4,G33,0.273053450168916,activation
G18,G36,0.272430648446661,activation
G12,G36,0.2722997553602,activation
G46,G31,0.27226858948829,activation
G44,G14,0.272033037006571,repression
G58,G34,0.271701540855123,repression
G46,G55,0.271421370960233,repression
G36,G57,0.271228347720194,repression
G13,G50,0.270880916152956,activation
G55,G30,0.270869744948934,repression
G1,G31,0.270698821609888,repression
G34,G52,0.270396312133902,repression
G33,G98,0.270221133728954,activation
G4,G41,0.270192535323646,activation
G58,G5,0.27004001339973,repression
G12,G55,0.26972651083126,repression
G60,G50,0.269703800219944,activation
G65,G38,0.268932931645837,repression
G42,G2,0.268809969629231,repression
G5,G81,0.268555922934985,repression
G40,G37,0.268530987456105,activation
G47,G41,0.268509916799393,repression
G71,G89,0.26847112982528,repression
G65,G75,0.268388172441599,repression
G1,G41,0.268213914087816,repression
G7,G39,0.268069440439535,activation
G4,G21,0.267940178529607,activation
G92,G32,0.267832307332004,repression
G4,G47,0.267726693419514,repression
