SourceGENES,TargetGENES,Interaction,Edges
G72,G84,0.430698277624664,activation
G32,G96,0.430495809450213,activation
G69,G39,0.430055670814489,repression
G77,G80,0.429032462967103,repression
G53,G84,0.429030964016981,repression
G79,G65,0.428629350724327,repression
G1,G44,0.428402304231778,repression
G17,G95,0.427998537718056,repression
G16,G83,0.427341894245688,repression
G24,G4,0.427314215867019,activation
G21,G25,0.427310534549625,activation
G73,G93,0.427273676624274,repression
G48,G52,0.426876755295677,repression
G76,G80,0.426876521080587,activation
G9,G86,0.426558750324997,activation
G91,G59,0.425794195566239,repression
G45,G96,0.425788609351581,repression
G63,G7,0.42329247713144,repression
G15,G58,0.422358154672037,repression
G63,G27,0.42148691201076,activation
G68,G27,0.421388839031349,repression
G79,G24,0.421214398257486,activation
G20,G81,0.419340527412556,repression
G63,G80,0.418603846807239,activation
G68,G6,0.418127453338365,repression
G23,G7,0.417391191463236,repression
G23,G32,0.41661968578239,activation
G9,G42,0.41536745927624,activation
G15,G3,0.415099265880732,activation
G31,G50,0.414866850775945,repression
G21,G33,0.41465987177965,repression
G37,G39,0.413827543948809,activation
G56,G47,0.413817148088489,repression
G91,G74,0.413577017110767,activation
G31,G79,0.413575782687265,repression
G15,G65,0.413515439189438,repression
G70,G48,0.413190010646598,repression
G68,G5,0.412996545066281,repression
G34,G42,0.410394653614267,activation
G53,G96,0.41024951848236,activation
G74,G73,0.410214494728662,repression
G4,G2,0.409756421982509,activation
G76,G91,0.409268259070618,activation
G15,G67,0.409248326161611,activation
G88,G39,0.409155689128027,activation
G37,G38,0.407771423632979,activation
G23,G91,0.407321447735482,repression
G1,G24,0.406476329461145,repression
G45,G82,0.405943619348087,repression
G5,G94,0.404479294399451,repression
G70,G56,0.404256096683484,repression
G76,G49,0.403137485271004,repression
G77,G94,0.402712987104598,repression
G32,G67,0.402278503964566,activation
G24,G78,0.401870185495253,repression
G12,G2,0.401854300988958,repression
G50,G28,0.401551406509902,repression
G48,G97,0.400056864882982,repression
G17,G86,0.399840627351984,activation
G69,G62,0.399644274823273,repression
G68,G84,0.399463257278107,repression
G16,G85,0.399071964601731,activation
G73,G88,0.397836425258272,repression
G45,G18,0.396754185727163,repression
G24,G79,0.396445492383342,activation
G56,G88,0.396421191037073,activation
G79,G99,0.396241073605572,activation
G56,G52,0.396146741779182,repression
G47,G39,0.394354785983092,repression
G72,G13,0.394181472494857,repression
G45,G84,0.39402273495027,activation
G70,G49,0.393743735107972,repression
G76,G56,0.393703264706116,repression
G56,G42,0.393405802323283,repression
G63,G74,0.393092778155002,activation
G9,G98,0.392502628964591,repression
G16,G79,0.392499726838633,repression
G99,G23,0.392388506250168,repression
G91,G27,0.391165628743916,activation
G31,G64,0.389951697388588,activation
G34,G67,0.388464469978276,repression
G89,G78,0.388419216218049,repression
G88,G2,0.388296553177901,activation
G20,G85,0.38770879031452,repression
G73,G56,0.387457509820199,repression
G76,G95,0.386326085596748,repression
G23,G5,0.384085918808431,repression
G1,G31,0.383880107719486,repression
G69,G69,0.383858049524582,activation
G72,G29,0.382601487479219,repression
G69,G1,0.382563368282678,activation
G20,G48,0.380085475401452,activation
G21,G14,0.380010262014913,activation
G74,G63,0.379736367305978,activation
G100,G31,0.378608653540847,repression
G37,G62,0.378573110685063,repression
G68,G60,0.378198119478811,repression
G20,G25,0.377872115520805,repression
G56,G49,0.377868353580278,repression
G99,G49,0.377734677919736,repression
G41,G64,0.377692992459136,repression
G16,G65,0.377052363227928,activation
G17,G55,0.376564794236913,repression
G50,G42,0.376055594534512,repression
G4,G64,0.375232017137575,activation
G20,G41,0.374959015112936,repression
G76,G93,0.374473301271764,repression
G74,G96,0.372910871643138,activation
G68,G74,0.372606689418374,activation
G37,G96,0.372206049094256,activation
G15,G93,0.371876465270078,activation
G9,G81,0.371858321443,repression
G44,G53,0.37128860099683,activation
G10,G53,0.371276498591394,repression
G16,G28,0.370685661512188,activation
G88,G98,0.369320694366768,activation
G48,G21,0.368093177006028,repression
G17,G58,0.367730013067552,activation
G99,G99,0.367692638532181,activation
G31,G40,0.367301372028913,repression
G48,G28,0.367298025358378,repression
G99,G4,0.36663366593255,repression
G56,G19,0.366535120008006,repression
G32,G47,0.366472841246071,activation
G34,G98,0.365584973516313,repression
G77,G5,0.365345124753553,repression
G69,G48,0.364694007516646,activation
G48,G18,0.36466856615148,repression
G89,G50,0.364629328168955,repression
G27,G93,0.364026289075607,activation
G37,G2,0.363436426100485,activation
G4,G40,0.361782546611707,activation
G31,G99,0.361560253083889,repression
G48,G39,0.361162608231982,repression
G5,G24,0.360862192629096,repression
G21,G10,0.360457209948524,activation
G4,G43,0.360268692491211,repression
G32,G84,0.359785919304713,activation
G45,G71,0.359582359793231,activation
G4,G81,0.358413207909582,repression
G63,G82,0.358202205547531,repression
G1,G55,0.357648054625151,repression
G9,G39,0.357513345146011,repression
G16,G84,0.355766324261932,repression
G21,G88,0.355748859066329,activation
G73,G37,0.355180685839955,activation
G11,G55,0.354370031125562,repression
G95,G58,0.354182712814362,activation
G89,G80,0.354163798757609,activation
G24,G5,0.35406818772004,repression
G100,G52,0.352640550482163,repression
G16,G27,0.352150669010482,activation
G24,G83,0.351882720976628,repression
G86,G75,0.35184932564129,activation
G68,G94,0.351337757614641,repression
G77,G6,0.350765562286023,repression
G17,G50,0.350719205286837,repression
G48,G12,0.350622635870065,repression
G34,G29,0.350610592143524,repression
G37,G54,0.350450435835928,activation
G9,G28,0.348842578615139,repression
G15,G40,0.348520329525503,repression
G87,G22,0.348129637515188,repression
G31,G2,0.348074569986537,repression
G53,G28,0.348042985908714,repression
G31,G78,0.347021443064718,repression
G31,G53,0.346911582638989,repression
G50,G78,0.346611946153566,activation
G68,G76,0.346508344887102,repression
G32,G90,0.346486360497837,activation
G76,G94,0.346249559406132,activation
G69,G84,0.34606758021738,activation
G11,G86,0.345058918279373,repression
G23,G17,0.344930372184727,activation
G70,G57,0.344029490554041,repression
G87,G52,0.344006992196574,repression
G63,G93,0.343390865026716,repression
G9,G71,0.343370994677119,repression
G16,G78,0.342439026499873,repression
G5,G91,0.342182371996416,repression
G89,G17,0.341972523132924,repression
G91,G64,0.341570165428486,repression
G63,G19,0.340715088106754,repression
G49,G12,0.340653272530259,activation
G87,G42,0.340402448549051,activation
G63,G91,0.339328725312547,repression
G95,G71,0.338854016414487,repression
G70,G53,0.338350572092147,activation
G58,G57,0.338174750977774,activation
G74,G54,0.338084515746313,repression
G72,G48,0.337967428388841,repression
G99,G71,0.337910383962211,repression
G1,G59,0.337894941104025,activation
G21,G21,0.337872518319423,activation
G21,G37,0.337578031666988,repression
G47,G81,0.337450885267741,repression
G24,G65,0.337080522926257,repression
G73,G52,0.337028879801304,repression
G69,G21,0.336730387145403,activation
G87,G81,0.336505141314284,activation
G1,G23,0.33647146294732,activation
G45,G62,0.336387074710066,activation
G4,G16,0.336358200847542,repression
G50,G57,0.336312162227982,repression
G89,G43,0.336243438598781,repression
G83,G30,0.336111558173343,activation
G34,G62,0.335981361312167,activation
G91,G56,0.335749123115417,repression
G73,G81,0.335650939141358,repression
G45,G73,0.335096447574618,repression
G15,G85,0.335095615589855,repression
G31,G86,0.334805493006825,activation
G69,G98,0.334693014800374,activation
G12,G85,0.334016264408775,repression
G29,G12,0.333723545926395,activation
G33,G13,0.333506346984317,activation
G41,G42,0.333224152051069,activation
G9,G64,0.333220296005603,repression
G77,G71,0.333131565891543,activation
G1,G99,0.333089562100469,activation
G74,G93,0.332927305294089,activation
G20,G95,0.332227135914936,repression
G22,G3,0.33068579658932,activation
G37,G7,0.330609618385213,repression
G16,G18,0.330473555546484,repression
G32,G35,0.330442812039654,repression
G74,G62,0.330434061925961,repression
G44,G64,0.330265628527522,activation
G89,G91,0.329787836934564,repression
G21,G90,0.3296994572802,activation
G32,G64,0.327587054199555,repression
G48,G56,0.327465659119121,repression
G23,G99,0.327324837515801,repression
G24,G60,0.326380396024297,repression
G89,G28,0.326337490006878,repression
G49,G19,0.326093092976211,repression
G53,G35,0.325964697270525,repression
G4,G31,0.3259035072776,repression
G32,G54,0.325594510758766,activation
G37,G19,0.325313912235979,activation
G56,G81,0.325267886962966,activation
G69,G29,0.32493215572225,repression
G1,G78,0.32351859170463,repression
G87,G66,0.32334096381682,activation
G91,G87,0.323197424183221,activation
G70,G84,0.321753734842578,repression
G43,G64,0.321713755639682,repression
G70,G29,0.321292131743354,repression
G99,G18,0.320889878307617,repression
G89,G79,0.320801774521323,repression
G4,G42,0.320787756780881,repression
G11,G85,0.320540553532273,activation
G70,G98,0.320228430907999,repression
G91,G19,0.320187677519261,repression
G89,G99,0.31980985381878,repression
G17,G9,0.319723559142843,repression
G70,G69,0.319363436281089,activation
G72,G56,0.318865957864143,activation
G91,G45,0.318788827813489,repression
G16,G42,0.318766738941073,repression
G1,G80,0.317653292406885,repression
G21,G46,0.317442013604142,repression
G89,G76,0.317064167580761,repression
G77,G65,0.316636288418567,repression
G47,G53,0.315799415592009,activation
G72,G22,0.315377019276387,repression
G4,G88,0.315288650706494,activation
G31,G31,0.315253110021276,activation
G83,G13,0.314999639733068,repression
G37,G93,0.314454216870674,activation
G22,G42,0.314314713563818,repression
G31,G24,0.31389445067379,repression
G89,G86,0.313883756406584,activation
G77,G18,0.313194124809005,repression
G5,G84,0.312808208705212,repression
G77,G17,0.312284727925856,repression
G36,G54,0.312160677180439,repression
G89,G83,0.312000955025384,activation
G77,G39,0.311927505223666,activation
G33,G87,0.311785696516169,activation
G99,G42,0.311326066915647,activation
G69,G12,0.31119623603548,repression
G1,G93,0.31077364501397,activation
G1,G47,0.310277146019423,repression
G63,G17,0.309876397646472,activation
G74,G56,0.309373839152196,repression
G58,G88,0.30913905155198,repression
G16,G90,0.309091068952826,repression
G31,G5,0.308900765431933,repression
G100,G64,0.30888425134456,repression
G6,G54,0.308685637352102,activation
G32,G73,0.308235871199761,repression
G44,G24,0.308196912441024,repression
G56,G39,0.308001887085462,repression
G12,G81,0.307908493991275,repression
G4,G55,0.307892103567358,activation
G44,G79,0.307416209485765,activation
G70,G35,0.306243149977005,repression
G87,G88,0.305980312461091,repression
G20,G43,0.305333102266108,activation
G16,G26,0.305161548340105,repression
G76,G69,0.305116954057778,activation
G37,G98,0.304687046309973,repression
G68,G44,0.304119922613475,repression
G16,G4,0.304089948606232,repression
G45,G47,0.303952741567485,repression
G77,G69,0.303943096106046,repression
G48,G47,0.303639885716014,activation
G95,G53,0.303468702641844,activation
G23,G100,0.303326118423167,activation
G87,G57,0.303212932913577,repression
G50,G79,0.302633875735837,repression
G1,G57,0.301955793124856,activation
G48,G42,0.301421954420585,activation
G79,G1,0.301297745734298,repression
G11,G58,0.30123349010327,activation
G47,G19,0.300954990896171,activation
G26,G96,0.300902646217479,repression
G72,G98,0.300314688497433,repression
G86,G82,0.299894472038682,repression
G53,G90,0.299772526134959,repression
G73,G6,0.299269524352956,activation
G76,G99,0.299254017721533,repression
G44,G39,0.299136483248846,repression
G95,G40,0.298525714065905,repression
G1,G33,0.298265096522898,activation
G45,G91,0.298081571753617,repression
G58,G81,0.297863958222031,repression
G68,G54,0.297420503930095,activation
G74,G29,0.297283677376874,activation
G37,G34,0.297229014651501,repression
G50,G55,0.29698489409798,repression
G78,G83,0.296945414576053,repression
G70,G55,0.296688454319745,repression
G56,G71,0.295443065472931,activation
G50,G99,0.295057656402777,repression
G1,G43,0.294437771228345,activation
G17,G47,0.294359940613182,activation
G11,G42,0.293587949057223,activation
G50,G58,0.293194909616799,activation
G89,G55,0.293078292028747,repression
G48,G59,0.292607650889624,activation
G15,G35,0.29255070887317,activation
G68,G77,0.292433066197591,activation
G24,G28,0.292180289954651,repression
G22,G58,0.29174683322887,activation
G77,G63,0.29174087408096,activation
G89,G5,0.290903709557309,repression
G15,G45,0.290712371780968,repression
G37,G88,0.29027818765126,activation
G4,G85,0.290037072426731,activation
G63,G32,0.289800751478945,activation
G34,G55,0.289689765666514,activation
G58,G48,0.289609895544172,repression
G88,G4,0.289352437833131,activation
G45,G55,0.289235530715036,repression
G33,G34,0.289204165596413,activation
G37,G15,0.289115560700055,repression
G93,G87,0.289054041305178,activation
G34,G22,0.288997106006701,activation
G48,G98,0.288922910597535,repression
G74,G52,0.288791660556014,repression
G5,G17,0.28829008631822,repression
G33,G95,0.287962051206618,repression
G63,G47,0.287875404336416,repression
G27,G25,0.287836388507904,repression
G11,G49,0.287794241775157,repression
G21,G52,0.287748863652497,activation
G95,G55,0.287637005625649,repression
G72,G36,0.287541935995517,repression
G99,G100,0.287222167312997,activation
G1,G91,0.286177854205191,repression
G17,G91,0.28615458501116,activation
G49,G57,0.2861350579533,repression
G73,G74,0.286040493344262,repression
G32,G25,0.285922637921388,repression
G91,G32,0.285912533279635,activation
G5,G49,0.285830253075924,repression
G23,G4,0.285819402513597,activation
G46,G2,0.285462729494007,activation
G32,G46,0.285161482839822,activation
G68,G24,0.285103003910772,repression
G83,G94,0.284971399210675,repression
G10,G38,0.284871519631544,repression
G1,G28,0.284862453423529,activation
G73,G7,0.284780380838764,activation
G32,G29,0.28461429180852,repression
G49,G13,0.284391957482053,activation
G15,G90,0.284164455306085,repression
G89,G94,0.283349793008662,activation
G23,G27,0.283191163623259,activation
G74,G91,0.283069959522501,activation
G15,G46,0.282731976383175,repression
G87,G97,0.282601144648925,repression
G58,G82,0.282567520832792,repression
G45,G80,0.282445765957896,repression
G77,G9,0.282348456652241,activation
G17,G93,0.28225299580664,repression
G88,G33,0.281792111678332,repression
G9,G45,0.281698301301038,repression
G15,G81,0.281658302718639,activation
G74,G48,0.281504750062034,repression
G47,G21,0.281311130059654,activation
G53,G25,0.280779626660351,activation
G5,G30,0.280651017583166,activation
G17,G56,0.280627649539777,activation
G77,G67,0.27974064763849,activation
G1,G4,0.279607982502504,activation
G89,G4,0.27924032675288,repression
G49,G87,0.279171493368943,activation
G53,G98,0.278650662450342,repression
G89,G31,0.278402406476426,repression
G49,G42,0.278108326391156,repression
G26,G86,0.276977416061649,repression
G12,G26,0.276798452637295,activation
G77,G90,0.276718210840862,repression
G20,G93,0.27671339398504,activation
G68,G51,0.276678492391095,repression
G27,G49,0.276644882990775,activation
G69,G74,0.276361561848071,repression
G5,G18,0.275995050678134,activation
G89,G96,0.275802193943593,repression
G34,G84,0.275561532580584,repression
G47,G47,0.275270761489449,activation
G59,G33,0.275071536025193,repression
G48,G4,0.274725584305583,repression
G69,G8,0.274653111752833,repression
G99,G53,0.274407336629648,repression
G41,G19,0.273834418052915,repression
G89,G57,0.273831500855141,repression
G77,G73,0.273672228647682,repression
G95,G88,0.273651874661395,activation
G58,G61,0.273534189476164,activation
G83,G5,0.273488212898048,activation
G15,G22,0.273482640563614,repression
G59,G18,0.272807374352034,repression
G89,G61,0.272624862554846,activation
G99,G91,0.272534975715238,activation
G27,G28,0.27243463342195,activation
G17,G53,0.272020619946062,activation
G10,G50,0.271733494846058,repression
G32,G39,0.271617593562945,activation
G70,G75,0.271376737741973,repression
G17,G48,0.271302674937874,repression
G16,G77,0.271028982636805,activation
G49,G88,0.270791807259033,activation
G5,G80,0.270560465872672,activation
G5,G28,0.270426151288207,repression
G74,G84,0.269947304728677,activation
G73,G96,0.269794229275997,repression
G43,G53,0.269745234806371,repression
G4,G46,0.26956302992873,activation
G17,G99,0.269298360837246,repression
G100,G18,0.2692549743957,repression
G37,G81,0.269119738001882,activation
G74,G33,0.268897922308061,activation
G56,G24,0.268878322971166,repression
G56,G21,0.268802047363811,repression
G58,G84,0.268701236252946,repression
G31,G4,0.268589656571066,repression
G89,G53,0.268184175422351,repression
G59,G12,0.267720950481227,repression
G17,G43,0.267572441709846,repression
G72,G20,0.267539660200377,repression
G4,G24,0.267421608268599,activation
G31,G16,0.267240647301986,repression
G86,G65,0.267206363766133,activation
G15,G70,0.26719470150917,activation
G79,G16,0.267068681156317,repression
G63,G5,0.267003509756025,repression
G70,G71,0.266723468370133,activation
G45,G43,0.266715179609709,repression
G16,G94,0.266162289159544,repression
G5,G76,0.265879122933602,repression
G95,G3,0.265638353257562,activation
G79,G31,0.265254170359247,repression
G9,G56,0.265195873849653,activation
G76,G47,0.264994536504216,activation
G33,G57,0.264961043049013,repression
G1,G8,0.264742656350826,activation
G72,G96,0.264704422300901,activation
G21,G7,0.26469852899729,repression
G43,G42,0.264692134632382,repression
G69,G73,0.264283116176353,repression
G47,G52,0.264179091991151,repression
G79,G57,0.263980592399469,activation
G9,G47,0.263843200536884,repression
G69,G49,0.263514495052979,repression
G32,G49,0.263408101576898,repression
G59,G52,0.263269866081419,activation
G9,G21,0.262974359961793,repression
G74,G19,0.262854526572842,repression
G53,G71,0.262568690664046,repression
G88,G64,0.262342331782828,activation
G34,G33,0.262022260426904,activation
G69,G59,0.26200920221993,repression
G79,G5,0.261798698686172,repression
G27,G95,0.261641672709517,repression
G31,G43,0.261447177780715,repression
G79,G8,0.261313813831055,activation
G32,G79,0.261281588549846,repression
G37,G18,0.261242021276392,activation
G9,G95,0.261043371620643,repression
G17,G70,0.260858210596117,repression
G52,G2,0.260738570160716,repression
G9,G88,0.260354499142347,activation
G99,G8,0.260257948556024,activation
G77,G68,0.260225135068846,activation
G73,G25,0.259922248160211,activation
G15,G94,0.25966398597673,repression
G16,G59,0.259633838583186,repression
G73,G36,0.259334872189284,repression
G10,G86,0.259277536362853,activation
G50,G53,0.259252287084113,repression
G63,G52,0.259032135200362,activation
G36,G62,0.258950208707306,repression
G51,G49,0.258628191632451,activation
G50,G64,0.258441628896803,activation
G77,G27,0.258430739341826,repression
G69,G45,0.258323973893612,activation
G70,G54,0.25829582254277,repression
G20,G47,0.257784894783137,activation
G99,G73,0.257510124143549,repression
G87,G40,0.256983824418705,repression
G73,G12,0.256953932185117,repression
G45,G28,0.256595855935238,repression
G45,G98,0.256498664735299,repression
G34,G3,0.256438418908898,activation
G95,G62,0.256397035512035,repression
G88,G81,0.256307257285231,repression
G50,G100,0.256136601277955,repression
G12,G86,0.255911213542967,repression
G4,G26,0.255815577338788,activation
G26,G18,0.25577576860588,repression
G74,G21,0.255769519410829,activation
G14,G62,0.25576263963321,activation
G72,G73,0.25538826842625,activation
G9,G61,0.255222399571676,repression
G100,G63,0.255092801529974,activation
G12,G12,0.255051957296862,activation
G100,G12,0.254664434154838,repression
G47,G97,0.254226461047341,activation
G17,G40,0.253777145525296,activation
G6,G62,0.253722580205166,repression
G23,G20,0.253410934887585,repression
G73,G69,0.252733674345968,repression
G64,G62,0.252687529651659,activation
G91,G9,0.252280822037305,repression
G100,G57,0.252101730672976,repression
G24,G45,0.251980872665416,repression
G44,G11,0.251932137946618,repression
G73,G14,0.251786122647616,activation
G10,G54,0.251568110910114,repression
G89,G49,0.251548767477663,repression
G27,G44,0.251479850361936,activation
G89,G24,0.251355700473398,activation
G47,G88,0.251330531327854,activation
G4,G80,0.251303978695319,repression
G91,G91,0.2512494122328,activation
G99,G43,0.251162645145117,repression
G79,G85,0.250901327965037,activation
G22,G62,0.250790844990363,repression
G49,G81,0.250779902534577,repression
G77,G70,0.250285500706604,repression
G68,G39,0.250243607984777,activation
G1,G82,0.249944934687117,repression
G63,G64,0.249869715595873,activation
G70,G1,0.249793398564069,activation
G47,G96,0.249770890514901,repression
G72,G34,0.249670169228364,activation
G16,G16,0.249527428327898,activation
G68,G80,0.249371567205237,repression
G47,G13,0.249357366533857,repression
G68,G61,0.248769308723155,repression
G68,G56,0.248536397812786,activation
G11,G66,0.248428604647249,repression
G33,G20,0.248095820870006,repression
G59,G84,0.24794780863993,repression
G77,G1,0.247899628526679,activation
G83,G19,0.247828976114198,activation
G33,G81,0.247586966455525,activation
G83,G34,0.247488126629465,activation
G26,G87,0.247394877718355,repression
G48,G51,0.247345229547424,repression
G27,G84,0.247201572308112,activation
G47,G25,0.247119681269229,repression
G32,G33,0.246924757317253,activation
G68,G26,0.246782932781742,repression
G99,G12,0.246329947667519,repression
G44,G71,0.246296157921801,activation
G31,G12,0.246004208612427,activation
G31,G83,0.245815784865051,repression
G100,G16,0.24576556692546,activation
G99,G56,0.24564637131013,repression
G89,G84,0.245581921144625,activation
G77,G82,0.245355754410648,activation
G79,G55,0.244844437161127,activation
G52,G12,0.244783362763976,repression
G69,G88,0.244745640823494,activation
G4,G12,0.244478031604658,activation
G36,G55,0.244451225994866,repression
G100,G24,0.244239952011038,repression
G76,G71,0.244188376641701,activation
G21,G18,0.244022280438635,repression
G95,G48,0.243742782502485,activation
G6,G56,0.243599347229166,activation
G11,G22,0.243216971996667,repression
G70,G97,0.243007206015821,activation
G9,G44,0.24285656251397,repression
G5,G60,0.242675193740347,activation
G56,G46,0.242612992038257,repression
G34,G52,0.242556718007805,activation
G56,G4,0.24237676805951,activation
G49,G47,0.24212178761679,repression
G64,G55,0.242022821476703,repression
G76,G55,0.241993026043437,repression
G87,G48,0.241675304781712,activation
G48,G73,0.241362666616111,repression
G59,G49,0.241205798673697,repression
G90,G96,0.24116598269987,activation
G56,G57,0.241120265313112,repression
G56,G56,0.240974276910186,activation
G74,G12,0.240968665093217,activation
G9,G27,0.240811093965725,activation
G57,G42,0.240791376621534,activation
G16,G76,0.240606483850099,activation
G22,G65,0.240475815043513,repression
G17,G64,0.240432096843068,activation
G72,G93,0.239880580998481,repression
G31,G85,0.239692070911359,activation
G16,G68,0.23960850375161,repression
G68,G99,0.239345707217843,activation
G17,G3,0.239104222885432,repression
G58,G21,0.238987723716599,activation
