SourceGENES,TargetGENES,Interaction,Edges
KLF13,JUN,0.541723651439958,repression
MAFB,UHRF1,0.541046306667437,repression
KLF10,SPI1,0.540746415299643,repression
KLF13,SMAD3,0.534201317529647,repression
NFYA,ELK1,0.53176226205344,repression
BCL6,SPI1,0.53022353849297,repression
IRF8,ELK1,0.524062804109589,repression
FOSB,PRDM1,0.521748719248248,repression
IRF8,BCL6,0.521528176977263,repression
KLF10,FLI1,0.514949061876927,repression
KLF13,NFATC1,0.513953807519326,repression
VDR,BCL6,0.513220138130015,repression
KLF13,UHRF1,0.513037578962204,repression
PPARD,TFPT,0.508202462946772,repression
FOSB,KLF13,0.507407151890861,repression
BCL6,FLI1,0.506915958909072,repression
SPI1,SPIB,0.506287947116845,repression
VDR,ELK1,0.504461120675302,repression
KLF13,VDR,0.501467579943973,repression
IRF8,PRDM1,0.501357664151696,repression
KLF13,RREB1,0.495616568796458,activation
PPARG,UHRF1,0.493836421880644,repression
PPARD,VDR,0.491754517407251,repression
PPARG,JUN,0.491148289036152,repression
VDR,PRDM1,0.489369513943572,repression
PPARG,TFPT,0.486878374165435,repression
KLF10,RXRB,0.484599277286812,repression
UHRF1,SPIB,0.482615457971688,repression
NFYA,PRDM1,0.481823866511994,repression
FOSB,PPARG,0.481817491357541,repression
SPI1,KLF13,0.479695459804372,repression
KLF10,CBFB,0.476546653651651,repression
KLF10,NFYC,0.476042884316764,repression
KLF10,IRF8,0.475859651748794,repression
PPARD,SMAD3,0.475180510695612,repression
IRF8,CEBPB,0.474230569716102,repression
BCL6,CBFB,0.473546672087092,repression
BCL6,RXRB,0.473258751610353,repression
MAFB,VDR,0.47296140631759,repression
PPARG,SMAD3,0.47224406617916,repression
NFYA,CEBPB,0.471300298486383,repression
FOSB,TFPT,0.470498988121557,activation
SPI1,PRDM1,0.469488134277484,activation
BCL6,IRF8,0.469467854575526,repression
IRF8,PPARG,0.468789762569573,repression
PPARG,RREB1,0.468372365204993,repression
MAFB,TFPT,0.468336617137177,repression
RXRB,SNAI3,0.467874358917063,repression
VDR,PPARG,0.46772493727782,repression
BCL6,NFYC,0.465070320451881,repression
MYEF2,ELK1,0.464914120489373,repression
FOSB,JUN,0.46406967854238,repression
PRDM1,UHRF1,0.464066197507332,repression
KLF13,SP3,0.463326169259451,activation
SPI1,PPARG,0.463086296002112,repression
PRDM1,TFPT,0.462434455309433,repression
PPARD,RREB1,0.459236200662107,repression
NFYA,BCL6,0.457694102979204,repression
MYEF2,CEBPB,0.456861866486102,repression
PPARD,JUN,0.456326594480807,repression
KLF10,RUNX1,0.456325577626054,repression
NFYA,PPARG,0.452308457902417,repression
KLF10,SP3,0.450495971136029,repression
